Date,Start Hour:Minute,End Hour:Minute,Total time
8/20/2024,15:10,15:48,0:38
8/21/2024,7:24,8:54,1:30
8/22/2024,14:41,15:49,1:08
8/23/2024,13:15,14:40,1:25
8/26/2024,7:42,9:07,1:25
8/27/2024,8:37,9:08,0:31
8/28/2024,12:54,13:47,0:53
8/29/2024,9:00,10:18,1:18
8/30/2024,15:10,16:05,0:55
9/10/2024,8:13,9:15,1:02
9/11/2024,14:06,15:24,1:18
9/12/2024,13:17,14:54,1:37
9/13/2024,13:54,15:03,1:09
9/16/2024,8:26,8:52,0:26
9/17/2024,11:45,13:36,1:51
9/18/2024,15:19,16:25,1:06
9/19/2024,14:54,15:25,0:31
9/20/2024,7:53,9:49,1:56
9/23/2024,8:14,9:42,1:28
9/24/2024,7:09,8:13,1:04
9/25/2024,15:24,16:41,1:17
9/26/2024,14:08,14:34,0:26
9/27/2024,8:04,8:33,0:29
9/30/2024,15:00,16:37,1:37
10/1/2024,8:07,8:59,0:52
10/2/2024,8:07,8:30,0:23
10/3/2024,8:14,9:11,0:57
10/4/2024,7:50,8:42,0:52
10/7/2024,6:30,8:18,1:48
10/8/2024,14:06,14:27,0:21
10/9/2024,7:14,8:04,0:50
10/10/2024,6:28,8:04,1:36
10/11/2024,12:36,13:34,0:58
10/14/2024,8:40,10:06,1:26
10/15/2024,9:28,10:41,1:13
